,step,type,unique_id,state,positionX,positionY,last
0,0,StoplightAgent,0,green,0,0,False
1,0,StoplightAgent,1,red,0,0,False
2,0,StoplightAgent,2,red,0,0,False
3,0,StoplightAgent,3,red,0,0,False
4,0,carAgent,4,0,12,3,False
5,0,carAgent,5,0,3,0,False
6,0,carAgent,6,0,0,7,False
7,0,carAgent,7,0,7,12,False
8,0,carAgent,8,0,12,4,False
9,0,carAgent,9,0,4,0,False
10,0,carAgent,10,0,0,8,False
11,0,carAgent,11,0,8,12,False
12,0,carAgent,12,0,12,5,False
13,0,carAgent,13,0,5,0,False
14,0,peopleAgent,14,0,2,12,False
15,1,StoplightAgent,0,green,0,0,False
16,1,StoplightAgent,1,red,0,0,False
17,1,StoplightAgent,2,red,0,0,False
18,1,StoplightAgent,3,red,0,0,False
19,1,carAgent,4,0,11,3,False
20,1,carAgent,5,0,3,1,False
21,1,carAgent,6,0,1,7,False
22,1,carAgent,7,0,7,11,False
23,1,carAgent,8,0,11,4,False
24,1,carAgent,9,0,4,1,False
25,1,carAgent,10,0,1,8,False
26,1,carAgent,11,0,8,11,False
27,1,carAgent,12,0,11,5,False
28,1,carAgent,13,0,5,1,False
29,1,peopleAgent,14,0,2,11,False
30,1,carAgent,16,0,0,7,False
31,1,peopleAgent,17,0,12,2,False
32,2,StoplightAgent,0,green,0,0,False
33,2,StoplightAgent,1,red,0,0,False
34,2,StoplightAgent,2,red,0,0,False
35,2,StoplightAgent,3,red,0,0,False
36,2,carAgent,4,0,10,3,False
37,2,carAgent,5,0,3,1,False
38,2,carAgent,6,0,1,7,False
39,2,carAgent,7,0,7,11,False
40,2,carAgent,8,0,10,4,False
41,2,carAgent,9,0,4,1,False
42,2,carAgent,10,0,1,8,False
43,2,carAgent,11,0,8,11,False
44,2,carAgent,12,0,10,5,False
45,2,carAgent,13,0,5,1,False
46,2,peopleAgent,14,0,2,10,False
47,2,carAgent,16,0,0,7,False
48,2,peopleAgent,17,0,12,2,False
49,3,StoplightAgent,0,green,0,0,False
50,3,StoplightAgent,1,red,0,0,False
51,3,StoplightAgent,2,red,0,0,False
52,3,StoplightAgent,3,red,0,0,False
53,3,carAgent,4,0,9,3,False
54,3,carAgent,5,0,3,1,False
55,3,carAgent,6,0,1,7,False
56,3,carAgent,7,0,7,11,False
57,3,carAgent,8,0,9,4,False
58,3,carAgent,9,0,4,1,False
59,3,carAgent,10,0,1,8,False
60,3,carAgent,11,0,8,11,False
61,3,carAgent,12,0,9,5,False
62,3,carAgent,13,0,5,1,False
63,3,peopleAgent,14,0,2,10,False
64,3,carAgent,16,0,0,7,False
65,3,peopleAgent,17,0,11,2,False
66,4,StoplightAgent,0,green,0,0,False
67,4,StoplightAgent,1,red,0,0,False
68,4,StoplightAgent,2,red,0,0,False
69,4,StoplightAgent,3,red,0,0,False
70,4,carAgent,4,0,8,3,False
71,4,carAgent,5,0,3,1,False
72,4,carAgent,6,0,1,7,False
73,4,carAgent,7,0,7,11,False
74,4,carAgent,8,0,8,4,False
75,4,carAgent,9,0,4,1,False
76,4,carAgent,10,0,1,8,False
77,4,carAgent,11,0,8,11,False
78,4,carAgent,12,0,8,5,False
